date,article_count,negative_sentiment_news,neutral_sentiment_news,positive_sentiment_news,news_sentiment_score,ticker
2020-05-02,1,0.8381,0.0,0.0,8.095000000000002,TSLA
2020-05-13,1,0.9605,0.0,0.0,1.974999999999999,TSLA
2020-06-11,1,0.0,0.0,0.7848,89.24000000000001,TSLA
2020-07-11,1,0.0,0.0,0.8339,91.695,TSLA
2020-07-17,1,0.0,0.7566,0.0,50.0,TSLA
2020-07-21,1,0.0,0.4213,0.0,50.0,TSLA
2020-07-22,1,0.0,0.9174,0.0,50.0,TSLA
2020-07-23,1,0.0,0.7767,0.0,50.0,TSLA
2020-07-28,1,0.0,0.7927,0.0,50.0,TSLA
2020-08-19,1,0.0,0.0,0.6611,83.055,TSLA
2020-08-21,1,0.0,0.0,0.8428,92.14,TSLA
2020-08-22,1,0.0,0.0,0.8726,93.63,TSLA
2020-09-01,1,0.0,0.9197,0.0,50.0,TSLA
2020-09-12,1,0.0,0.8286,0.0,50.0,TSLA
2020-10-17,1,0.6269,0.0,0.0,18.655,TSLA
2020-10-21,1,0.0,0.5288,0.0,50.0,TSLA
2020-10-22,1,0.9104,0.0,0.0,4.48,TSLA
2020-10-23,1,0.0,0.0,0.8632,93.16,TSLA
2020-11-18,1,0.0,0.8766,0.0,50.0,TSLA
2020-12-01,1,0.0,0.8762,0.0,50.0,TSLA
2020-12-19,1,0.0,0.0,0.4979,74.895,TSLA
2020-12-23,1,0.0,0.0,0.9088,95.44,TSLA
2021-01-23,1,0.0,0.0,0.9336,96.67999999999999,TSLA
2021-01-26,1,0.0,0.9271,0.0,50.0,TSLA
2021-01-27,1,0.9603,0.0,0.0,1.9849999999999979,TSLA
2021-01-28,1,0.9227,0.0,0.0,3.865000000000002,TSLA
2021-02-03,1,0.0,0.919,0.0,50.0,TSLA
2021-02-09,1,0.0,0.9157,0.0,50.0,TSLA
2021-02-23,1,0.9605,0.0,0.0,1.974999999999999,TSLA
2021-02-26,1,0.9542,0.0,0.0,2.2899999999999974,TSLA
2021-03-03,1,0.5599,0.0,0.0,22.005000000000003,TSLA
2021-03-09,1,0.0,0.0,0.9474,97.37,TSLA
2021-03-10,1,0.0,0.0,0.8947,94.735,TSLA
2021-03-16,1,0.0,0.0,0.79,89.5,TSLA
2021-03-19,1,0.9396,0.0,0.0,3.0200000000000005,TSLA
2021-03-23,1,0.0,0.0,0.9072,95.36,TSLA
2021-03-25,1,0.9605,0.0,0.0,1.974999999999999,TSLA
2021-04-01,1,0.0,0.0,0.9135,95.675,TSLA
2021-04-06,1,0.0,0.0,0.7183,85.915,TSLA
2021-04-09,1,0.0,0.0,0.9267,96.335,TSLA
2021-04-13,1,0.0,0.9163,0.0,50.0,TSLA
2021-04-15,1,0.0,0.0,0.766,88.3,TSLA
